node_id,node_type,country,sector,commodity,total_import_usd,import_share_pct,vulnerability_score,hhi,top_source_country,top_source_share_pct,country_risk_fsi,country_risk_source,commodity_importance,commodity_imp_source,chokepoint_weight,chokepoint_source,lat,lon,global_trade_share_pct,representative_companies,n_companies,static_risk_score,score_methodology,risk_tier
TN_AGR_AZE,trade,Azerbaijan,Agri,Agri,0.44,0.0,0.0,0.2076,Indonesia,36.64,0.6058,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3467,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_BAH,trade,Bahrain,Agri,Agri,0.8500000000000001,0.0,0.0,0.2076,Indonesia,36.64,0.5425,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3277,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_BEL,trade,Belarus,Agri,Agri,0.38,0.0,0.0,0.2076,Indonesia,36.64,0.5825,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3397,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_BHU,trade,Bhutan,Agri,Agri,2.66,0.0,0.0,0.2076,Indonesia,36.64,0.5533,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3309,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_BOS,trade,Bosnia and Herzegovina,Agri,Agri,0.0,0.0,0.0,0.2076,Indonesia,36.64,0.6025,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3457,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_CRO,trade,Croatia,Agri,Agri,14.39,0.01,0.0,0.2076,Indonesia,36.64,0.4058,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.2867,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_CYP,trade,Cyprus,Agri,Agri,5.01,0.0,0.0,0.2076,Indonesia,36.64,0.475,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3074,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_CZE,trade,Czechia,Agri,Agri,11.2,0.01,0.0,0.2076,Indonesia,36.64,0.6175,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3502,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_DEM,trade,Democratic People's Republic of Korea,Agri,Agri,0.13,0.0,0.0,0.2076,Indonesia,36.64,0.6175,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3502,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_FIJ,trade,Fiji,Agri,Agri,0.16,0.0,0.0,0.2076,Indonesia,36.64,0.585,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3404,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
