node_id,snapshot_date,disruption_prob,severity_pred,risk_tier,country,sector,commodity,static_risk_score,lat,lon,insight_text
TN_CHE_POL,2026-06-08,0.3007,4.0,Medium,Poland,Chemicals,Chemicals,0.2633,,,
TN_CHE_CZE,2026-06-08,0.3007,4.0,Medium,Czechia,Chemicals,Chemicals,0.3355,,,
TN_CHE_FIN,2026-06-08,0.3007,4.0,Medium,Finland,Chemicals,Chemicals,0.1902,,,
TN_CHE_HUN,2026-06-08,0.3007,4.0,Medium,Hungary,Chemicals,Chemicals,0.2722,,,
TN_CHE_MYA,2026-06-08,0.3007,4.0,Medium,Myanmar,Chemicals,Chemicals,0.4007,,,
TN_CHE_NEP,2026-06-08,0.3007,4.0,Medium,Nepal,Chemicals,Chemicals,0.3507,,,
TN_CHE_NOR,2026-06-08,0.3007,4.0,Medium,North Macedonia,Chemicals,Chemicals,0.3354,,,
TN_CHE_PHI,2026-06-08,0.3007,4.0,Medium,Philippines,Chemicals,Chemicals,0.3447,,,
TN_CHE_ROM,2026-06-08,0.3007,4.0,Medium,Romania,Chemicals,Chemicals,0.2827,,,
TN_CHE_SLO,2026-06-08,0.3007,4.0,Medium,Slovakia,Chemicals,Chemicals,0.3354,,,
TN_CHE_BUL,2026-06-08,0.3007,4.0,Medium,Bulgaria,Chemicals,Chemicals,0.2797,,,
TN_CHE_LAT,2026-06-08,0.3007,4.0,Medium,Latvia,Chemicals,Chemicals,0.2584,,,
TN_CHE_LIT,2026-06-08,0.3007,4.0,Medium,Lithuania,Chemicals,Chemicals,0.2487,,,
TN_CHE_PAK,2026-06-08,0.3007,4.0,Medium,Pakistan,Chemicals,Chemicals,0.3749,,,
TN_CHE_POR,2026-06-08,0.3007,4.0,Medium,Portugal,Chemicals,Chemicals,0.2144,,,
TN_CHE_SRI,2026-06-08,0.3007,4.0,Medium,Sri Lanka,Chemicals,Chemicals,0.3759,,,
TN_CHE_AFG,2026-06-08,0.3007,4.0,Medium,Afghanistan,Chemicals,Chemicals,0.4166,,,
TN_CHE_ALB,2026-06-08,0.3007,4.0,Medium,Albania,Chemicals,Chemicals,0.2921,,,
TN_CHE_AME,2026-06-08,0.3007,4.0,Medium,American Samoa,Chemicals,Chemicals,0.3354,,,
TN_CHE_AND,2026-06-08,0.3007,4.0,Medium,Andorra,Chemicals,Chemicals,0.3354,,,
TN_CHE_ARM,2026-06-08,0.3007,4.0,Medium,Armenia,Chemicals,Chemicals,0.3189,,,
TN_CHE_AZE,2026-06-08,0.3007,4.0,Medium,Azerbaijan,Chemicals,Chemicals,0.3319,,,
TN_CHE_BHU,2026-06-08,0.3007,4.0,Medium,Bhutan,Chemicals,Chemicals,0.3161,,,
TN_CHE_BOS,2026-06-08,0.3007,4.0,Medium,Bosnia and Herzegovina,Chemicals,Chemicals,0.3309,,,
TN_CHE_BRU,2026-06-08,0.3007,4.0,Medium,Brunei Darussalam,Chemicals,Chemicals,0.2869,,,
TN_CHE_CAM,2026-06-08,0.3007,4.0,Medium,Cambodia,Chemicals,Chemicals,0.3509,,,
TN_CHE_CHR,2026-06-08,0.3007,4.0,Medium,Christmas Island,Chemicals,Chemicals,0.3354,,,
TN_CHE_CRO,2026-06-08,0.3007,4.0,Medium,Croatia,Chemicals,Chemicals,0.2719,,,
TN_CHE_CYP,2026-06-08,0.3007,4.0,Medium,Cyprus,Chemicals,Chemicals,0.2926,,,
TN_CHE_DEM,2026-06-08,0.3007,4.0,Medium,Democratic People's Republic of Korea,Chemicals,Chemicals,0.3354,,,
TN_CHE_EST,2026-06-08,0.3007,4.0,Medium,Estonia,Chemicals,Chemicals,0.2467,,,
